timeago,scale,city,region
"
      2018-06-17 13:42:37 UTC
    ",4.6 magnitude,Pyu,Bago
"
      2018-06-17 13:21:30 UTC
    ",5.0 magnitude,Pyu,Bago
"
      2018-06-05 23:12:32 UTC
    ",4.7 magnitude,Mawlaik,Sagain
"
      2018-06-05 16:33:54 UTC
    ",4.8 magnitude,Wāngjing,Manipur
"
      2018-05-26 23:42:23 UTC
    ",4.5 magnitude,Mawlaik,Sagain
"
      2018-05-06 13:37:26 UTC
    ",4.6 magnitude,Bhamo,Kachin
"
      2018-04-29 17:58:57 UTC
    ",4.5 magnitude,Chauk,Magway
"
      2018-04-24 12:23:34 UTC
    ",5.1 magnitude,Pyu,Bago
"
      2018-04-24 04:08:35 UTC
    ",5.2 magnitude,Mawlaik,Sagain
"
      2018-04-22 18:31:43 UTC
    ",4.9 magnitude,Pyu,Bago
"
      2018-04-21 22:41:10 UTC
    ",4.7 magnitude,Pyu,Bago
"
      2018-04-20 22:29:24 UTC
    ",5.0 magnitude,Pyu,Bago
"
      2018-04-20 08:28:01 UTC
    ",4.3 magnitude,Phek,Manipur
"
      2018-04-20 04:16:05 UTC
    ",4.8 magnitude,Pyu,Bago
"
      2018-04-18 07:55:36 UTC
    ",4.2 magnitude,Twante,Yangon
"
      2018-04-16 13:32:33 UTC
    ",3.4 magnitude,Pyapon,Ayeyarwady
"
      2018-04-15 14:27:50 UTC
    ",3.4 magnitude,Pyapon,Ayeyarwady
"
      2018-04-14 22:27:32 UTC
    ",4.1 magnitude,Pyapon,Ayeyarwady
"
      2018-04-08 17:40:09 UTC
    ",4.5 magnitude,Shwebo,Sagain
"
      2018-04-04 15:21:23 UTC
    ",4.6 magnitude,Phek,Manipur
"
      2018-04-02 11:42:10 UTC
    ",4.9 magnitude,Myitkyina,Kachin
"
      2018-03-24 18:41:29 UTC
    ",4.2 magnitude,Monywa,Sagain
"
      2018-03-17 19:59:03 UTC
    ",5.1 magnitude,Pyu,Bago
"
      2018-03-15 16:58:20 UTC
    ",4.3 magnitude,Mawlaik,Sagain
"
      2018-03-15 02:26:05 UTC
    ",4.3 magnitude,Churāchāndpur,Manipur
"
      2018-03-09 22:08:40 UTC
    ",4.4 magnitude,Lashio,Shan
"
      2018-03-07 21:13:08 UTC
    ",5.3 magnitude,Nay Pyi Taw,Mandalay
"
      2018-03-07 20:51:53 UTC
    ",4.4 magnitude,Bhamo,Kachin
"
      2018-03-04 10:48:11 UTC
    ",4.9 magnitude,Pyu,Bago
"
      2018-02-14 07:14:01 UTC
    ",4.7 magnitude,Pyay,Bago
"
      2018-02-09 04:41:43 UTC
    ",4.2 magnitude,Myanaung,Ayeyarwady
"
      2018-02-07 16:38:01 UTC
    ",4.1 magnitude,Pyu,Bago
"
      2018-02-05 16:55:34 UTC
    ",4.6 magnitude,Pyu,Bago
"
      2018-02-04 08:42:02 UTC
    ",4.1 magnitude,Thongwa,Yangon
"
      2018-01-24 19:21:38 UTC
    ",4.6 magnitude,Falam,Chin
"
      2018-01-22 07:37:59 UTC
    ",4.7 magnitude,Pyu,Bago
"
      2018-01-20 10:06:47 UTC
    ",4.2 magnitude,Mawlaik,Sagain
"
      2018-01-18 02:03:31 UTC
    ",4.5 magnitude,Phek,Manipur
"
      2018-01-16 11:23:02 UTC
    ",4.1 magnitude,Wāngjing,Manipur
"
      2018-01-14 17:49:54 UTC
    ",4.7 magnitude,Pyu,Bago
"
      2018-01-13 23:29:46 UTC
    ",4.6 magnitude,Pyu,Bago
"
      2018-01-13 08:19:46 UTC
    ",3.5 magnitude,Twante,Yangon
"
      2018-01-12 15:23:55 UTC
    ",4.8 magnitude,Pyu,Bago
"
      2018-01-12 04:16:07 UTC
    ",4.4 magnitude,Pyu,Bago
"
      2018-01-11 22:30:43 UTC
    ",4.3 magnitude,Pyu,Bago
"
      2018-01-11 20:08:41 UTC
    ",4.6 magnitude,Pyu,Bago
"
      2018-01-11 18:43:59 UTC
    ",5.2 magnitude,Pyu,Bago
"
      2018-01-11 18:42:59 UTC
    ",5.2 magnitude,Pyu,Bago
"
      2018-01-11 18:38:12 UTC
    ",5.3 magnitude,Pyu,Bago
"
      2018-01-11 18:26:24 UTC
    ",6.0 magnitude,Pyu,Bago
"
      2018-01-07 06:47:14 UTC
    ",5.5 magnitude,Wāngjing,Manipur
"
      2018-01-06 22:56:57 UTC
    ",4.1 magnitude,Pathein,Ayeyarwady
"
      2018-01-04 15:00:39 UTC
    ",4.4 magnitude,Myitkyina,Kachin
"
      2018-01-03 21:35:36 UTC
    ",4.6 magnitude,Lashio,Shan
"
      2017-12-29 16:19:14 UTC
    ",4.7 magnitude,Khonsa,Arunachal Pradesh
"
      2017-12-28 20:23:34 UTC
    ",5.0 magnitude,Monywa,Sagain
"
      2017-12-27 18:12:31 UTC
    ",4.2 magnitude,Bhamo,Kachin
"
      2017-12-23 15:45:00 UTC
    ",4.6 magnitude,Mawlaik,Sagain
"
      2017-12-03 09:47:14 UTC
    ",4.7 magnitude,Monywa,Sagain
"
      2017-11-25 19:29:47 UTC
    ",4.5 magnitude,Thayetmyo,Magway
"
      2017-11-20 08:48:01 UTC
    ",4.9 magnitude,Mawlaik,Sagain
"
      2017-10-03 13:48:34 UTC
    ",4.5 magnitude,Phek,Manipur
"
      2017-10-02 18:13:51 UTC
    ",4.6 magnitude,Pakokku,Magway
"
      2017-09-21 16:34:33 UTC
    ",4.4 magnitude,Phek,Manipur
"
      2017-09-15 01:36:47 UTC
    ",4.8 magnitude,Pyay,Bago
"
      2017-08-23 17:21:17 UTC
    ",4.0 magnitude,Monywa,Sagain
"
      2017-08-02 18:18:08 UTC
    ",5.2 magnitude,Churāchāndpur,Manipur
"
      2017-07-13 05:03:31 UTC
    ",4.8 magnitude,Mawlaik,Sagain
"
      2017-07-02 05:27:45 UTC
    ",4.7 magnitude,Wāngjing,Manipur
"
      2017-07-01 07:01:14 UTC
    ",4.6 magnitude,Mawlaik,Sagain
"
      2017-06-18 22:35:46 UTC
    ",4.6 magnitude,Thoubāl,Manipur
"
      2017-06-03 02:42:58 UTC
    ",4.1 magnitude,Wāngjing,Manipur
"
      2017-05-06 14:48:51 UTC
    ",4.3 magnitude,Mawlaik,Sagain
"
      2017-03-30 10:34:53 UTC
    ",4.2 magnitude,Nyaungdon,Ayeyarwady
"
      2017-03-25 02:05:56 UTC
    ",4.5 magnitude,Phek,Manipur
"
      2017-03-13 14:19:06 UTC
    ",5.1 magnitude,Tharyarwady,Bago
"
      2017-03-06 21:30:07 UTC
    ",4.3 magnitude,Phek,Manipur
"
      2017-03-04 02:11:53 UTC
    ",5.1 magnitude,Phek,Manipur
"
      2017-03-03 23:30:03 UTC
    ",4.1 magnitude,Yairipok,Manipur
"
      2017-02-24 12:02:51 UTC
    ",5.0 magnitude,Churāchāndpur,Manipur
"
      2017-02-08 20:46:16 UTC
    ",4.5 magnitude,Monywa,Sagain
"
      2017-01-21 21:49:18 UTC
    ",4.3 magnitude,Magway,Magway
"
      2017-01-04 14:28:07 UTC
    ",4.6 magnitude,Mawlaik,Sagain
"
      2017-01-03 18:49:53 UTC
    ",5.1 magnitude,Mawlaik,Sagain
"
      2017-01-01 16:54:06 UTC
    ",4.6 magnitude,Taunggyi,Shan
"
      2016-12-26 17:25:42 UTC
    ",4.2 magnitude,Monywa,Sagain
"
      2016-12-08 07:46:20 UTC
    ",4.7 magnitude,Mawlaik,Sagain
"
      2016-10-26 06:29:09 UTC
    ",4.7 magnitude,Serchhīp,Mizoram
"
      2016-10-26 02:21:59 UTC
    ",5.0 magnitude,Mawlaik,Sagain
"
      2016-10-11 17:41:01 UTC
    ",4.5 magnitude,Bhamo,Kachin
"
      2016-10-11 07:30:14 UTC
    ",4.7 magnitude,Phek,Manipur
"
      2016-09-22 13:23:43 UTC
    ",4.6 magnitude,Phek,Manipur
"
      2016-08-24 10:34:55 UTC
    ",6.8 magnitude,Chauk,Magway
"
      2016-08-23 02:11:13 UTC
    ",5.3 magnitude,Mawlaik,Sagain
"
      2016-08-01 10:01:08 UTC
    ",5.2 magnitude,Pakokku,Magway
"
      2016-07-27 04:20:28 UTC
    ",4.9 magnitude,Pakokku,Magway
"
      2016-07-05 09:43:44 UTC
    ",4.4 magnitude,Yairipok,Manipur
"
      2016-07-01 19:22:40 UTC
    ",4.5 magnitude,Phek,Manipur
"
      2016-06-27 00:27:43 UTC
    ",4.7 magnitude,Manikchari,Chittagong
